date,type_end,daily_avg_end,type_exg,daily_avg_exg
2017-01-01,Global ,204.0,Sun Duration,228.0
2017-01-02,Global ,141.64285714285714,Sun Duration,228.0
2017-01-03,Global ,220.42857142857144,Sun Duration,248.25
2017-01-04,Global ,167.92857142857142,Sun Duration,268.5
2017-01-05,Global ,193.92857142857144,Sun Duration,288.75
2017-01-06,Global ,239.0,Sun Duration,309.0
2017-01-07,Global ,202.64285714285717,Sun Duration,329.25
2017-01-08,Global ,137.85714285714286,Sun Duration,349.5
2017-01-09,Global ,47.92857142857143,Sun Duration,369.75
2017-01-10,Global ,215.14285714285717,Sun Duration,390.0
2017-01-11,Global ,232.7142857142857,Sun Duration,492.0
2017-01-12,Global ,221.0,Sun Duration,480.0
2017-01-13,Global ,193.8571428571429,Sun Duration,372.0
2017-01-14,Global ,57.35714285714285,Sun Duration,390.0
2017-01-15,Global ,220.0,Sun Duration,408.0
2017-01-16,Global ,246.14285714285717,Sun Duration,480.0
2017-01-17,Global ,236.8571428571429,Sun Duration,480.0
2017-01-18,Global ,215.28571428571428,Sun Duration,438.0
2017-01-19,Global ,204.64285714285717,Sun Duration,432.0
2017-01-20,Global ,205.78571428571428,Sun Duration,468.0
2017-01-21,Global ,200.0,Sun Duration,360.0
2017-01-22,Global ,253.92857142857144,Sun Duration,492.0
2017-01-23,Global ,267.85714285714283,Sun Duration,510.0
2017-01-24,Global ,247.78571428571428,Sun Duration,498.0
2017-01-25,Global ,129.85714285714286,Sun Duration,78.0
2017-01-26,Global ,152.92857142857142,Sun Duration,180.0
2017-01-27,Global ,89.64285714285714,Sun Duration,42.0
2017-01-28,Global ,121.07142857142856,Sun Duration,48.0
2017-01-29,Global ,278.07142857142856,Sun Duration,510.0
2017-01-30,Global ,237.92857142857144,Sun Duration,279.0
2017-01-31,Global ,139.28571428571428,Sun Duration,48.0
2017-02-01,Global ,159.78571428571428,Sun Duration,288.0
2017-02-02,Global ,286.6428571428572,Sun Duration,528.0
2017-02-03,Global ,304.7142857142857,Sun Duration,540.0
2017-02-04,Global ,206.3571428571429,Sun Duration,300.0
2017-02-05,Global ,303.07142857142856,Sun Duration,540.0
2017-02-06,Global ,278.92857142857144,Sun Duration,522.0
2017-02-07,Global ,315.2142857142857,Sun Duration,552.0
2017-02-08,Global ,196.28571428571428,Sun Duration,252.0
2017-02-09,Global ,208.57142857142856,Sun Duration,450.0
2017-02-10,Global ,301.92857142857144,Sun Duration,540.0
2017-02-11,Global ,291.2857142857143,Sun Duration,540.0
2017-02-12,Global ,189.2142857142857,Sun Duration,240.0
2017-02-13,Global ,222.2142857142857,Sun Duration,312.0
2017-02-14,Global ,138.64285714285714,Sun Duration,60.0
2017-02-15,Global ,229.64285714285717,Sun Duration,96.0
2017-02-16,Global ,151.0,Sun Duration,132.0
2017-02-17,Global ,262.1428571428572,Sun Duration,42.0
