RESEMAVAL,DISBELIEF,RELATIVISM,SCEPTICISM,AGE,EDUCATION,DEFIANCE,ReligCountry
0.549954,0.0,0.666667,0.553333,55,2,0.0,Religious
0.231005,0.222222,0.0,0.0,60,1,0.0,Religious
0.255833,0.222222,0.0,0.33,35,1,0.11,Religious
0.151667,0.0,0.0,0.44,32,2,0.0,Religious
0.325417,0.333333,0.0,0.66,22,2,0.0,Religious
0.311667,0.055556,0.0,0.44,65,3,0.0,Religious
0.4925,0.277778,0.0,0.553333,55,6,0.0,Religious
0.4375,0.277778,0.0,0.443333,35,1,0.0,Religious
0.235417,0.166667,1.0,0.44,60,2,0.11,Religious
0.492361,0.277778,1.0,0.33,23,2,0.0,Religious
0.290556,0.277778,0.666667,0.22,22,0,0.166667,Religious
0.354815,0.4405,1.0,0.44,25,2,0.276667,Secular
0.336296,0.277778,0.333333,0.33,29,2,0.276667,Religious
0.605926,0.0,0.0,0.22,44,3,0.166667,Religious
0.308935,0.0,0.0,0.11,24,3,0.0,Religious
0.297639,0.166667,1.0,0.33,41,0,0.103,Religious
0.268102,0.111111,0.666667,0.22,38,5,0.11,Religious
0.317917,0.111111,1.0,0.44,48,0,0.103,Religious
0.474637,0.0,0.333333,0.666667,60,2,0.11,Religious
0.389676,0.166667,0.0,0.33,36,1,0.103,Religious
0.338107,0.277778,0.666667,0.11,62,0,0.24622,Religious
0.276111,0.277778,0.333333,0.22,55,0,0.0,Religious
0.186667,0.222222,0.666667,0.33,54,0,0.22,Religious
0.205185,0.222222,0.333333,0.33,55,0,0.11,Religious
0.4025,0.166667,0.666667,0.11,35,0,0.11,Religious
0.518102,0.166667,0.0,0.44,24,2,0.0,Religious
0.380833,0.277778,0.666667,0.33,38,1,0.11,Religious
0.140926,0.222222,0.666667,0.33,45,1,0.0,Religious
0.103333,0.333333,1.0,0.55,35,0,0.11,Religious
0.126759,0.166667,0.0,0.66335,30,1,0.386667,Religious
0.274352,0.055556,0.333333,0.773333,30,0,0.103,Religious
0.152083,0.111111,0.0,0.22,21,2,0.103,Religious
0.209676,0.277778,0.0,0.66064,36,1,0.0,Religious
0.31588,0.0,0.0,0.776667,20,2,0.0,Religious
0.385988,0.166667,0.666667,0.0,35,2,0.0,Religious
0.187083,0.277778,0.333333,0.443333,41,0,0.24622,Religious
0.434352,0.0,0.0,0.553333,38,0,0.0,Religious
0.458333,0.0,0.0,0.44,30,0,0.0,Religious
0.159167,0.0,0.666667,0.34644,50,1,0.0,Religious
0.092593,0.055556,0.0,0.886667,39,2,0.166667,Religious
0.059769,0.0,0.0,0.11,44,3,0.166667,Religious
0.325833,0.0,0.0,0.33,39,0,0.11,Religious
0.196343,0.166667,0.666667,0.33,22,6,0.0,Religious
0.210093,0.444444,1.0,0.33,47,6,0.0,Secular
0.29125,0.222222,1.0,0.33,50,0,0.103,Religious
0.307176,0.0,1.0,0.22,58,1,0.0,Religious
0.229167,0.222222,1.0,0.33,38,1,0.0,Religious
0.284167,0.166667,0.0,0.11,23,2,0.11,Religious
0.437083,0.277778,0.0,0.55,30,2,0.103,Religious
0.297083,0.055556,0.666667,0.776667,42,3,0.11,Religious
0.452037,0.0,0.0,0.776667,30,4,0.0,Religious
0.403704,0.0,0.0,0.22,55,1,0.0,Religious
0.244676,0.0,0.333333,0.776667,37,5,0.11,Religious
0.251759,0.333333,0.0,0.33,18,2,0.11,Religious
0.45287,0.166667,0.333333,1.0,19,3,0.11,Religious
0.290417,0.0,0.0,0.11,54,3,0.11,Religious
0.195509,0.0,0.333333,0.55,28,2,0.11,Religious
0.36,0.388889,0.0,0.553333,20,3,0.0,Secular
0.262917,0.0,1.0,0.22,23,1,0.0,Religious
0.172917,0.277778,0.333333,0.11,22,2,0.276667,Religious
0.693889,0.166667,0.333333,0.11,33,2,0.0,Religious
0.3325,0.0,0.333333,0.773333,25,7,0.11,Religious
0.281991,0.0,1.0,0.55,35,1,0.103,Religious
0.335093,0.277778,0.333333,0.22,45,1,0.0,Religious
0.224537,0.0,0.0,0.0,29,1,0.0,Religious
0.207083,0.055556,0.666667,0.0,22,2,0.0,Religious
0.207917,0.277778,0.333333,0.0,32,0,0.333333,Religious
0.23037,0.166667,1.0,0.443333,32,2,0.0,Religious
0.205602,0.166667,0.666667,0.55,35,1,0.0,Religious
0.255694,0.277778,0.0,0.55,35,2,0.166667,Religious
0.331944,0.277778,0.666667,0.33,22,6,0.276667,Religious
